price,area,location,no._of_bedrooms,resale,maintenancestaff,gymnasium,swimmingpool,landscapedgardens,joggingtrack,rainwaterharvesting,indoorgames,shoppingmall,intercom,sportsfacility,atm,clubhouse,school,24x7security,powerbackup,carparking,staffquarter,cafeteria,multipurposeroom,hospital,washingmachine,gasconnection,ac,wifi,children'splayarea,liftavailable,bed,vaastucompliant,microwave,golfcourse,tv,diningtable,sofa,wardrobe,refrigerator,city,price_per_sqft,location_frequency,latitude,longitude,distance_to_city_center_km,neighborhood_avg_price_2km
30000000,3340,Jp Nagar Phase 1,4,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Bangalore,8982.035928143712,34,12.9096941,77.5866067,6.903353964144632,15461372.70967742
20000000,2502,Thanisandra,4,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,7993.605115907274,36,13.054713,77.6339258,10.136274693709527,9556101.08988764
30000000,3340,Jp Nagar Phase 1,4,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Bangalore,8982.035928143712,34,12.9096941,77.5866067,6.903353964144632,15461372.70967742
20000000,2502,Thanisandra,4,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,7993.605115907274,36,13.054713,77.6339258,10.136274693709527,9556101.08988764
30000000,3340,Jp Nagar Phase 1,4,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Bangalore,8982.035928143712,34,12.9096941,77.5866067,6.903353964144632,15461372.70967742
20000000,2502,Thanisandra,4,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,7993.605115907274,36,13.054713,77.6339258,10.136274693709527,9556101.08988764
23700000,2470,Sahakar Nagar,4,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,9595.141700404858,33,13.069641,77.5857251,10.888981616011089,16787499.94117647
23100000,2480,Banashankari,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Bangalore,9314.516129032258,75,12.9278196,77.556621,6.359339164293592,13275840.265957449
25800000,1866,Koramangala,3,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,13826.36655948553,25,12.9357366,77.624081,5.096483423170489,20002789.42105263
51000000,3500,Hebbal,3,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bangalore,14571.42857142857,76,13.0382184,77.5919,7.375846811254401,30201646.292682927
22000000,1833,Itpl,3,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,12002.182214948172,85,12.9846294,77.7377329,15.595852657599856,12131897.613636363
25800000,1866,Koramangala,3,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,13826.36655948553,25,12.9357366,77.624081,5.096483423170489,20002789.42105263
29600000,3300,Jp Nagar Phase 1,4,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Bangalore,8969.69696969697,34,12.9096941,77.5866067,6.903353964144632,15461372.70967742
20099999,2330,Sahakar Nagar,4,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,8626.609012875537,33,13.069641,77.5857251,10.888981616011089,16787499.94117647
29300000,3012,Bilekahalli,4,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,9727.755644090306,18,12.8979703,77.6085699,8.285505102572865,12491528.03773585
22799999,2370,Bilekahalli,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,9620.252742616034,18,12.8979703,77.6085699,8.285505102572865,12491528.03773585
42500000,4282,Jp Nagar Phase 4,4,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,9925.268566090612,44,12.9096941,77.5866067,6.903353964144632,15461372.70967742
28300000,3033,Banashankari,4,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Bangalore,9330.695680844048,75,12.9278196,77.556621,6.359339164293592,13275840.265957449
21400000,2378,Banashankari,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Bangalore,8999.158957106813,75,12.9278196,77.556621,6.359339164293592,13275840.265957449
23500000,2522,Banashankari,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Bangalore,9318.001586042825,75,12.9278196,77.556621,6.359339164293592,13275840.265957449
29900000,3205,Banashankari,4,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Bangalore,9329.173166926676,75,12.9278196,77.556621,6.359339164293592,13275840.265957449
20700000,1987,Jp Nagar Phase 7,3,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,10417.715148465022,50,12.9096941,77.5866067,6.903353964144632,15461372.70967742
20400000,2360,Thanisandra,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,8644.06779661017,36,13.054713,77.6339258,10.136274693709527,9556101.08988764
20200000,2127,Jp Nagar Phase 7,3,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,9496.944052656325,50,12.9096941,77.5866067,6.903353964144632,15461372.70967742
28000000,2790,Sahakar Nagar,4,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,10035.84229390681,33,13.069641,77.5857251,10.888981616011089,16787499.94117647
26000000,3300,Narayanapura On Hennur Main Road,4,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,7878.787878787879,148,12.9767936,77.590082,0.7552555834619402,10986437.7746114
29900000,3205,Banashankari,4,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,Bangalore,9329.173166926676,75,12.9278196,77.556621,6.359339164293592,13275840.265957449
28300000,3033,Banashankari,4,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,Bangalore,9330.695680844048,75,12.9278196,77.556621,6.359339164293592,13275840.265957449
23500000,2522,Banashankari,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,Bangalore,9318.001586042825,75,12.9278196,77.556621,6.359339164293592,13275840.265957449
23100000,2480,Banashankari,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,Bangalore,9314.516129032258,75,12.9278196,77.556621,6.359339164293592,13275840.265957449
21400000,2378,Banashankari,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,Bangalore,8999.158957106813,75,12.9278196,77.556621,6.359339164293592,13275840.265957449
35500000,2936,Electronic City Phase 1,3,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,Bangalore,12091.280653950951,139,12.8496783,77.6649749,15.500300330164563,7501158.537634409
22799999,2243,Uttarahalli,3,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,Bangalore,10164.957200178333,60,12.9055682,77.5455438,9.03882758461927,10478249.92763158
21200000,2051,Uttarahalli,3,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,Bangalore,10336.421257922964,60,12.9055682,77.5455438,9.03882758461927,10478249.92763158
25500000,1839,Koramangala,3,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,13866.231647634584,25,12.9357366,77.624081,5.096483423170489,20002789.42105263
34000000,2461,Koramangala,4,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,13815.522145469322,25,12.9357366,77.624081,5.096483423170489,20002789.42105263
34500000,2503,Koramangala,4,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Bangalore,13783.45984818218,25,12.9357366,77.624081,5.096483423170489,20002789.42105263
26000000,3360,Itpl,4,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,Bangalore,7738.0952380952385,85,12.9846294,77.7377329,15.595852657599856,12131897.613636363
66900000,4600,Hebbal,4,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bangalore,14543.478260869566,76,13.0382184,77.5919,7.375846811254401,30201646.292682927
74300000,5112,Hebbal,5,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bangalore,14534.428794992176,76,13.0382184,77.5919,7.375846811254401,30201646.292682927
60100000,6500,Hebbal,4,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Bangalore,9246.153846153846,76,13.0382184,77.5919,7.375846811254401,30201646.292682927
36000000,3900,Hebbal,4,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Bangalore,9230.76923076923,76,13.0382184,77.5919,7.375846811254401,30201646.292682927
36000000,3895,Hebbal,4,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Bangalore,9242.618741976894,76,13.0382184,77.5919,7.375846811254401,30201646.292682927
52200000,5654,Hebbal,4,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Bangalore,9232.401839405731,76,13.0382184,77.5919,7.375846811254401,30201646.292682927
50800000,5500,Hebbal,4,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Bangalore,9236.363636363636,76,13.0382184,77.5919,7.375846811254401,30201646.292682927
49600000,4622,Jp Nagar Phase 4,4,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Bangalore,10731.285157940283,44,12.9096941,77.5866067,6.903353964144632,15461372.70967742
46400000,4322,Jp Nagar Phase 4,4,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Bangalore,10735.770476631187,44,12.9096941,77.5866067,6.903353964144632,15461372.70967742
64000000,4400,Hebbal,4,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bangalore,14545.454545454546,76,13.0382184,77.5919,7.375846811254401,30201646.292682927
61100000,4200,Hebbal,3,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bangalore,14547.619047619048,76,13.0382184,77.5919,7.375846811254401,30201646.292682927
53400000,3670,Hebbal,3,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bangalore,14550.40871934605,76,13.0382184,77.5919,7.375846811254401,30201646.292682927
56700000,3897,Hebbal,3,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bangalore,14549.653579676677,76,13.0382184,77.5919,7.375846811254401,30201646.292682927
64000000,2772,Richmond Town,3,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,Bangalore,23088.02308802309,39,12.963555,77.6015856,1.1690135178514505,10983020.747833624
35900000,1998,Domlur,3,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,Bangalore,17967.96796796797,4,12.9624669,77.6381958,4.836814827161432,16158000.0
24900000,1388,Domlur,3,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,Bangalore,17939.48126801153,4,12.9624669,77.6381958,4.836814827161432,16158000.0
26900000,1498,Domlur,2,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,Bangalore,17957.276368491323,4,12.9624669,77.6381958,4.836814827161432,16158000.0
